main_model,gate_feature,quantile,direction,cutoff,gate_rate,specialist,train_acc,train_bacc,train_f1,train_auc,threshold
Elastic+LGBM Blend,TRAb_x_FT3_last,0.8,high,172.72381811641011,0.2,Elastic,0.8025157232704403,0.7837081484469544,0.7065420560747664,0.8532818532818534,0.4149999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.8,high,23.630373434197374,0.2,LGBM,0.8025157232704403,0.7747291534604968,0.6963249516441006,0.85150262202501,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.7,high,0.6686527520962233,0.30062893081761005,ET,0.8025157232704403,0.772733821241284,0.6939571150097466,0.8515386388520717,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_TSH_last_plus1,0.8,high,18.725099601593627,0.2,Elastic,0.8025157232704403,0.772733821241284,0.6939571150097466,0.8493416124013139,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT3_last,0.65,high,188.29100000000003,0.34968553459119495,ET,0.8025157232704403,0.772733821241284,0.6939571150097466,0.8461361147928312,0.38999999999999985
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.85,high,38.16434262948205,0.1509433962264151,LGBM,0.8025157232704403,0.7717361551316775,0.6927592954990215,0.8472058145565609,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.85,high,13.551866666666665,0.1509433962264151,LGBM,0.8025157232704403,0.7717361551316775,0.6927592954990215,0.8470905607099638,0.4149999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.9,high,55.429400000000015,0.10062893081761007,LGBM,0.8025157232704403,0.7717361551316775,0.6927592954990215,0.8425884573272633,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.85,high,38.472899999999974,0.1509433962264151,LGBM,0.8025157232704403,0.7707384890220711,0.6915520628683693,0.8474183138362243,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.85,high,38.47689999999997,0.1509433962264151,LGBM,0.8025157232704403,0.7707384890220711,0.6915520628683693,0.8474183138362243,0.4149999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.85,high,36.503499999999995,0.1509433962264151,LGBM,0.8025157232704403,0.7707384890220711,0.6915520628683693,0.8472814498933903,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.85,high,1.0052972550711188,0.1509433962264151,LGBM,0.8025157232704403,0.7687431568028582,0.689108910891089,0.8417636719875525,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.85,high,1.0052972550711188,0.1509433962264151,RF,0.8025157232704403,0.7677454906932519,0.6878727634194831,0.8497810176914655,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT4_last,0.65,high,468.3280798556246,0.34968553459119495,ET,0.8025157232704403,0.7677454906932519,0.6878727634194831,0.8492119518238922,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT3_last,0.9,high,542.7108000000004,0.10062893081761007,ET,0.8025157232704403,0.7677454906932519,0.6878727634194831,0.8451492537313433,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.8,high,172.72381811641011,0.2,RF,0.8025157232704403,0.7657501584740392,0.685370741482966,0.8511208436581571,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_TSH_last_plus1,0.65,high,12.848356573705178,0.34968553459119495,RF,0.8025157232704403,0.7657501584740392,0.685370741482966,0.849010257592347,0.4049999999999998
Elastic+LGBM Blend,ThyroidW,0.85,high,52.62524406148533,0.1509433962264151,RF,0.8025157232704403,0.7647524923644327,0.6841046277665996,0.850558981155996,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT4_last,0.9,high,1172.907,0.10062893081761007,ET,0.8025157232704403,0.7647524923644327,0.6841046277665996,0.8456678960410304,0.4149999999999998
Elastic+LGBM Blend,TPOAb,0.65,high,775.3930062477515,0.34968553459119495,Elastic,0.8025157232704403,0.7627571601452199,0.6815415821501014,0.8471301792197314,0.4149999999999998
Elastic+LGBM Blend,TGAb,0.7,high,269.0,0.3018867924528302,RF,0.8025157232704403,0.7418061718434852,0.6518847006651884,0.842894600357287,0.5599999999999998
Elastic+LGBM Blend,ThyroidW_x_FT3_last,0.7,high,214.4538,0.30062893081761005,Elastic,0.8025157232704403,0.7408085057338789,0.6503340757238307,0.850018728750072,0.5799999999999997
Elastic+LGBM Blend,ThyroidW,0.8,high,45.42,0.2,Elastic,0.8025157232704403,0.7348225090762404,0.6407322654462243,0.8483691580706506,0.5549999999999998
Elastic+LGBM Blend,ThyroidW_x_FT4_last,0.75,high,609.2,0.25031446540880503,Elastic,0.8025157232704403,0.7338248429666341,0.639080459770115,0.8532818532818532,0.6249999999999998
Elastic+LGBM Blend,TGAb,0.75,high,361.85477899744285,0.25031446540880503,RF,0.8025157232704403,0.7318295107474212,0.6357308584686775,0.8430170575692965,0.5949999999999998
Elastic+LGBM Blend,TRAb_x_FT4_last,0.8,high,412.5851017323921,0.2,Elastic,0.8025157232704403,0.7258435140897828,0.6252983293556086,0.8513297412551143,0.5949999999999998
